Cycle,Byte_0,Byte_1,Byte_2,Byte_3,Byte_4,Byte_5,Byte_6,Byte_7,Byte_8,Byte_9,Byte_10,Byte_11,Byte_12,Byte_13,Byte_14,Byte_15
0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,16,0
1,0,0,0,0,0,0,0,0,0,0,0,0,128,0,17,32
2,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,8
3,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,54
4,0,0,0,0,0,0,0,0,0,0,0,0,127,255,160,0
5,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,186
8,0,0,0,0,0,0,0,0,0,0,0,0,127,255,160,0
9,85,85,85,85,85,85,85,85,127,255,255,255,221,85,85,64
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,42,170,170,170,136,0,0,21
12,0,0,0,0,0,0,0,0,0,0,0,3,255,253,0,56
13,0,0,0,0,0,0,0,0,0,0,0,3,255,253,0,56
14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
15,85,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,127,255,160,1
17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
21,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,94
22,0,0,0,0,0,0,0,0,0,0,0,0,0,12,128,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
25,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,160
26,0,0,0,0,0,0,0,1,0,0,0,0,0,12,124,30
27,0,0,0,0,0,0,0,0,0,0,0,0,0,12,124,30
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,127,255,176,0
31,0,0,0,0,0,0,0,0,0,0,0,0,127,255,192,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,127,255,176,0
36,85,85,85,85,85,85,85,85,127,255,255,255,223,85,85,64
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,3,255,253,128,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255
40,0,0,0,0,0,0,0,0,0,0,0,3,255,253,128,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255
42,0,0,0,0,0,0,0,0,0,0,0,3,255,253,128,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,87
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,127,255,192,8
49,85,85,85,85,85,85,85,85,127,255,255,255,245,85,85,192
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,3,255,254,0,64
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255
53,0,0,0,0,0,0,0,0,0,0,0,3,255,254,0,64
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255
55,0,0,0,0,0,0,0,0,0,0,0,3,255,254,0,64
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,87
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,16
62,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,16
